Matricula;Cod;Data Inicio;Hora Inicio;Data Fim;Hora Fim
031791;0;01/01/2025;00:00;30/01/2025;24:00
029721;0;01/01/2025;00:00;30/01/2025;24:00
020294;0;01/01/2025;00:00;30/01/2025;24:00
033464;0;01/01/2025;00:00;30/01/2025;24:00
028564;0;01/01/2025;00:00;30/01/2025;24:00
013930;0;01/01/2025;00:00;30/01/2025;24:00
032910;0;01/01/2025;00:00;30/01/2025;24:00
031478;0;01/01/2025;00:00;30/01/2025;24:00
033463;0;01/01/2025;00:00;30/01/2025;24:00
032906;0;01/01/2025;00:00;30/01/2025;24:00
028603;0;01/01/2025;00:00;30/01/2025;24:00
030605;0;01/01/2025;00:00;30/01/2025;24:00
019865;0;01/01/2025;00:00;30/01/2025;24:00
029906;0;01/01/2025;00:00;30/01/2025;24:00
020260;0;01/01/2025;00:00;30/01/2025;24:00
032897;0;01/01/2025;00:00;30/01/2025;24:00
033200;0;01/01/2025;00:00;30/01/2025;24:00
032632;0;01/01/2025;00:00;30/01/2025;24:00
031055;0;01/01/2025;00:00;30/01/2025;24:00
019598;0;01/01/2025;00:00;30/01/2025;24:00
020324;0;01/01/2025;00:00;30/01/2025;24:00
019970;0;01/01/2025;00:00;30/01/2025;24:00
019873;0;01/01/2025;00:00;30/01/2025;24:00
028740;0;01/01/2025;00:00;30/01/2025;24:00
033130;0;01/01/2025;00:00;30/01/2025;24:00
030410;0;01/01/2025;00:00;30/01/2025;24:00
019610;0;01/01/2025;00:00;30/01/2025;24:00
019679;0;01/01/2025;00:00;30/01/2025;24:00
032238;0;01/01/2025;00:00;30/01/2025;24:00
030973;0;01/01/2025;00:00;30/01/2025;24:00
030603;0;01/01/2025;00:00;30/01/2025;24:00
028569;0;01/01/2025;00:00;30/01/2025;24:00
026063;0;01/01/2025;00:00;30/01/2025;24:00
033287;0;01/01/2025;00:00;30/01/2025;24:00
020430;0;01/01/2025;00:00;30/01/2025;24:00
019857;0;01/01/2025;00:00;30/01/2025;24:00
014405;0;01/01/2025;00:00;30/01/2025;24:00
012186;0;01/01/2025;00:00;30/01/2025;24:00
030951;0;01/01/2025;00:00;30/01/2025;24:00
030591;0;01/01/2025;00:00;30/01/2025;24:00
032911;0;01/01/2025;00:00;30/01/2025;24:00
019920;0;01/01/2025;00:00;30/01/2025;24:00
020529;0;01/01/2025;00:00;30/01/2025;24:00
030006;0;01/01/2025;00:00;30/01/2025;24:00
032244;0;01/01/2025;00:00;30/01/2025;24:00
019822;0;01/01/2025;00:00;30/01/2025;24:00
019792;0;01/01/2025;00:00;30/01/2025;24:00
011759;0;01/01/2025;00:00;30/01/2025;24:00
031792;0;01/01/2025;00:00;30/01/2025;24:00
020898;0;01/01/2025;00:00;30/01/2025;24:00
032890;0;01/01/2025;00:00;30/01/2025;24:00
033461;0;01/01/2025;00:00;30/01/2025;24:00
025903;0;01/01/2025;00:00;30/01/2025;24:00
028588;0;01/01/2025;00:00;30/01/2025;24:00
028738;0;01/01/2025;00:00;30/01/2025;24:00
032217;0;01/01/2025;00:00;30/01/2025;24:00
032242;0;01/01/2025;00:00;30/01/2025;24:00
019806;0;01/01/2025;00:00;30/01/2025;24:00
001320;0;01/01/2025;00:00;30/01/2025;24:00
028557;0;01/01/2025;00:00;30/01/2025;24:00
019938;0;01/01/2025;00:00;30/01/2025;24:00
030976;0;01/01/2025;00:00;30/01/2025;24:00
031790;0;01/01/2025;00:00;30/01/2025;24:00
030998;0;01/01/2025;00:00;30/01/2025;24:00
030994;0;01/01/2025;00:00;30/01/2025;24:00
032893;0;01/01/2025;00:00;30/01/2025;24:00
028578;0;01/01/2025;00:00;30/01/2025;24:00
013603;0;01/01/2025;00:00;30/01/2025;24:00
030969;0;01/01/2025;00:00;30/01/2025;24:00
031765;0;01/01/2025;00:00;30/01/2025;24:00
020561;0;01/01/2025;00:00;30/01/2025;24:00
028568;0;01/01/2025;00:00;30/01/2025;24:00
029886;0;01/01/2025;00:00;30/01/2025;24:00
